keys,en
"

Zabezpieczony rejon: -%d%% obrażeń w razie katastrofy, %d%% szans na zwykłe zużycie HP przed kryzysem. Zabezpieczenie zużyje się podczas katastrofy.","

Secured region: -%d%% damage during the disaster, %d%% chance of normal HP wear before the crisis. The securing is consumed by the disaster."
%+d ciepła,%+d warmth
%+d ciepła nocą,%+d warmth at night
"%+d ciepła/noc, dopóki się pali",%+d warmth/night while it burns
%+d drewna,%+d wood
%+d drewna nocą,%+d wood at night
%+d energii jutro,%+d energy tomorrow
%+d jedzenia,%+d food
%+d jedzenia nocą,%+d food at night
%+d kamienia,%+d stone
%+d kamienia nocą,%+d stone at night
%+d nawodnienia,%+d hydration
%+d sytości,%+d satiety
%+d wody,%+d water
%+d wody nocą,%+d water at night
%+d zdrowia,%+d health
%+d zdrowia nocą,%+d health at night
%d drewna,%d wood
%d jedz.,%d food
%d kamienia,%d stone
"%s
Pali się jeszcze: %d nocy
Koszt: %d drewno -> +%d nocy paliwa","%s
Burns for: %d more nights
Cost: %d wood -> +%d nights of fuel"
%s (%d%% na sukces),%s (%d%% success chance)
%s daje narzędzia.,%s grants tools.
"%s niszczy %s (-%d HP, zostało %d/%d).","%s destroys %s (-%d HP, %d/%d left)."
%s rani cię. -%d zdrowia.,%s wounds you. -%d health.
"%s wygasło: dołóż drewno, żeby znów dawało ciepło.",%s has gone out: add wood to make it warm again.
%s zamienia się w RUINĘ. Możesz ją tylko rozebrać.,%s becomes a RUIN. All you can do is tear it down.
+%d ciepła tej nocy,+%d warmth tonight
+%d karta do ręki,+%d card to hand
+%d obrażeń od potworów,+%d damage from monsters
+%d zdrowia co świt,+%d health at dawn
+1 maks. energii,+1 max energy
+1 złota moneta!  (masz: %d),+1 gold coin!  (you have: %d)
"+2 jedzenia, jeśli grałeś już jedzenie",+2 food if you already played food today
+2 karty do ręki,+2 cards to hand
-%d HP budynku,-%d building HP
"-%d sytości, -%d nawodnienia, -%d ciepła","-%d satiety, -%d hydration, -%d warmth"
-%d zdrowia,-%d health
-%d zdrowia gracza,-%d player health
--- Dzień %d ---,--- Day %d ---
"-3 sytości, -3 nawodnienia, -3 ciepła","-3 satiety, -3 hydration, -3 warmth"
AWANS! Poziom %d — wybierz nagrodę.,LEVEL UP! Level %d — pick a reward.
Adrenalina,Adrenaline
Akcja,Action
Akcja: %s,Action: %s
Akcje budynków,Building actions
Anuluj,Cancel
Atak — %s,Attack — %s
Atak: %s,Attack: %s
Awans! Poziom %d — wybierz nagrodę%s,Level up! Level %d — pick a reward%s
Awans! Poziom 2 — wybierz nagrodę,Level up! Level 2 — pick a reward
Bagienna febra,Swamp fever
Bagienne wyziewy,Swamp miasma
Bagienne zioła,Swamp herbs
Bagno,Swamp
"Bagno przykrywa cienki lód, ale pod spodem coś nadal oddycha.","Thin ice covers the swamp, but something still breathes beneath it."
Bagno rozlało się bez granic. Każdy krok znika w zimnej mazi.,The swamp has spilled without end. Every step sinks into cold sludge.
Bandaż,Bandage
Bastion,Bastion
Bestia ucieka w mrok. Spokój.,The beast flees into the dark. Quiet.
Bez obiadu,No lunch
Biała ściana,White wall
Bieg,Dash
"Bieg skraca trasę, ale objazd kosztuje +%d energii.","The dash cuts the route short, but the detour costs +%d energy."
Bieg: ten ruch jest darmowy.,Dash: this move is free.
Bierzesz całość siłą.,You take everything by force.
"Bierzesz, co leży na widoku, i odchodzisz.",You take what is in plain sight and walk away.
"Bierzesz, co łatwo dostępne.",You take what is within easy reach.
Bilans potrzeb po nocy: %s.,Night needs balance: %s.
"Blade ogniki dryfują nad taflą wody. Pilnujesz się, żeby za nimi nie pójść, ale sen ucieka. -1 energii następnego dnia.","Pale wisps drift over the water. You keep yourself from following them, but sleep escapes you. -1 energy the next day."
Blade ognisko,Pale campfire
Brak budynku do doraźnej naprawy na tym kaflu.,No building to patch up on this tile.
Brak uszkodzonych budynków na tym kaflu.,No damaged buildings on this tile.
Brak wolnych slotów w tym biomie.,No free slots in this biome.
"Brodzisz po pas w gnijącej wodzie, by ściągnąć tobół z ciała.",You wade waist-deep in rotting water to pull the bundle off the corpse.
Budowa droższa o %d energii,Building costs %d more energy
Budowa tańsza o %d energii,Building costs %d less energy
Budowa tańsza o %d surowca,Building costs %d fewer resources
Budowanie,Building
Budowlaniec,Builder
